case	case.type	time
0	local	1
0	local	2
1	local	3
0	local	4
2	local	5
0	local	6
7	local	7
5	local	8
2	local	9
11	local	10
5	local	11
11	local	12
13	local	13
7	local	14
7	local	15
10	local	16
4	local	17
10	local	18
9	local	19
4	local	20
1	input	1
3	input	2
4	input	3
1	input	4
2	input	5
0	input	6
1	input	7
5	input	8
0	input	9
0	input	10
0	input	11
0	input	12
0	input	13
1	input	14
0	input	15
1	input	16
0	input	17
0	input	18
1	input	19
0	input	20
